observation_month,project_id,project_name,line_ministry,sector,cumulative_expenditure_cr,physical_progress_pct,original_cost_cr,latest_revised_cost_cr,cost_escalation_pct,expenditure_ratio_pct,expenditure_progress_gap_pct,progress_change_1m_pct,progress_change_3m_pct,expenditure_change_1m_cr,expenditure_change_3m_cr,cost_risk_score,schedule_risk_score,progress_risk_score,overall_risk_score,risk_level,priority_rank,match_status,source_file,source_page,canonical_project_id,revised_cost_cr,revised_cost_source,historical_financial_scoring_available,expenditure_progress_gap,schedule_slippage_days,schedule_slippage_months,project_age_days,project_age_months,progress_change_1m,progress_change_3m,progress_change_6m,expenditure_change_1m,expenditure_change_3m,progress_velocity_3m,expenditure_velocity_3m,cost_risk,schedule_risk,progress_risk,imbalance_risk,risk_evidence_weight,risk_score,risk_confidence,anomaly_score,anomaly_flag,risk_reasons,observed_months,first_observation_month,latest_observation_month,history_length_months,complete_7_month_history,data_confidence_score,data_confidence_category,trajectory_status,trajectory_risk_score,imbalance_risk_score,schedule_data_available,base_risk_score,risk_dimension_evidence_weight
2026-07-01,101280,,,,,,,,,,,,,,,,,,,INSUFFICIENT_EVIDENCE,,UNMATCHED_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,122,101280,,latest_revised_cost_cr,False,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,False,schedule dates unavailable in supplied CSV; cost/imbalance excluded: revised-cost timing is ambiguous,7,2026-01-01,2026-07-01,7,True,30.0,INSUFFICIENT_EVIDENCE,STABLE,30.0,,False,,0.0
2026-07-01,106816,,,,,,,,,,,,,,,,,,,INSUFFICIENT_EVIDENCE,,UNMATCHED_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,129,106816,,latest_revised_cost_cr,False,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,False,schedule dates unavailable in supplied CSV; cost/imbalance excluded: revised-cost timing is ambiguous,7,2026-01-01,2026-07-01,7,True,30.0,INSUFFICIENT_EVIDENCE,STABLE,30.0,,False,,0.0
2026-07-01,108841,"Amended BharatNet Program - KTK, GOA, PY",Department of Telecommunications,Telecommunication,435.31,8.15,3742.0,3742.0,0.0,11.633083912346338,3.4830839123463377,8.15,,0.0,,0.0,,0.0,39.659270978086575,LOW,442.0,EXACT_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,149,108841,3742.0,latest_revised_cost_cr,False,3.4830839123463377,,,,,8.15,,,0.0,,,,,,0.0,,0.25,0.0,0.25,2.0665887042848445,False,schedule dates unavailable in supplied CSV; cost/imbalance excluded: revised-cost timing is ambiguous,2,2026-06-01,2026-07-01,2,False,53.6,LOW,INSUFFICIENT_DATA,,8.837513518365968,False,1.89,0.7000000000000001
2026-01-01,120250,,,,563.2,76.0,,,,,,,,,,,,,,INSUFFICIENT_EVIDENCE,,UNMATCHED_MASTER_ID,FlashReport_January_2026(1).pdf,101,120250,,latest_revised_cost_cr,False,,,,,,,,,,,,,,,,,0.0,,0.0,0.6563926067075352,False,schedule dates unavailable in supplied CSV; cost/imbalance excluded: revised-cost timing is ambiguous,1,2026-01-01,2026-01-01,1,False,24.3,INSUFFICIENT_EVIDENCE,INSUFFICIENT_DATA,,,False,,0.0
2026-07-01,124199,Amended BharatNet Program - HR,Department of Telecommunications,Telecommunication,83.68,0.0,837.0,837.0,0.0,9.997610513739549,9.997610513739549,,,,,0.0,,,42.999402628434886,INSUFFICIENT_EVIDENCE,301.0,EXACT_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,149,124199,837.0,latest_revised_cost_cr,False,9.997610513739549,,,,,,,,,,,,,,,,0.0,,0.0,0.3514305413786561,False,schedule dates unavailable in supplied CSV; cost/imbalance excluded: revised-cost timing is ambiguous,1,2026-07-01,2026-07-01,1,False,49.3,LOW,INSUFFICIENT_DATA,,32.19822153024074,False,10.73,0.44999999999999996
2026-07-01,169570,,,,,,,,,,,,,,,,,,,INSUFFICIENT_EVIDENCE,,UNMATCHED_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,122,169570,,latest_revised_cost_cr,False,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,False,schedule dates unavailable in supplied CSV; cost/imbalance excluded: revised-cost timing is ambiguous,7,2026-01-01,2026-07-01,7,True,30.0,INSUFFICIENT_EVIDENCE,STABLE,30.0,,False,,0.0
2026-07-01,171218,Amended BharatNet Program - PB,Department of Telecommunications,Telecommunication,0.0,26.58,1245.0,1245.0,0.0,0.0,-26.58,,,,,0.0,,,28.2732,INSUFFICIENT_EVIDENCE,809.0,EXACT_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,149,171218,1245.0,latest_revised_cost_cr,False,-26.58,,,,,,,,,,,,,,,,0.0,,0.0,0.2823502290269404,False,schedule dates unavailable in supplied CSV; cost/imbalance excluded: revised-cost timing is ambiguous,1,2026-07-01,2026-07-01,1,False,49.3,LOW,INSUFFICIENT_DATA,,0.0,False,0.0,0.44999999999999996
2026-07-01,175860,"Amended BharatNet Program - MP, DD and DNH",Department of Telecommunications,Telecommunication,562.13,8.4,4943.0,4943.0,0.0,11.372243576775237,2.972243576775238,,,,,0.0,,,39.47906089419381,INSUFFICIENT_EVIDENCE,451.0,EXACT_MASTER_ID,FlashReport_July_2026 (1)(1).pdf,149,175860,4943.0,latest_revised_cost_cr,False,2.972243576775236,,,,,,,,,,,,,,,,0.0,,0.0,0.3507736141237358,False,schedule dates unavailable in supplied CSV; cost/imbalance excluded: revised-cost timing is ambiguous,1,2026-07-01,2026-07-01,1,False,49.3,LOW,INSUFFICIENT_DATA,,7.005670216442467,False,2.34,0.44999999999999996
2026-01-01,186000,,,,0.0,27.0,,,,,,,,,,,,,,INSUFFICIENT_EVIDENCE,,UNMATCHED_MASTER_ID,FlashReport_January_2026(1).pdf,110,186000,,latest_revised_cost_cr,False,,,,,,,,,,,,,,,,,0.0,,0.0,0.8190244936501513,False,schedule dates unavailable in supplied CSV; cost/imbalance excluded: revised-cost timing is ambiguous,1,2026-01-01,2026-01-01,1,False,24.3,INSUFFICIENT_EVIDENCE,INSUFFICIENT_DATA,,,False,,0.0
2026-01-01,188000,,,,46431.54,81.0,,,,,,,,,,,,,,INSUFFICIENT_EVIDENCE,,UNMATCHED_MASTER_ID,FlashReport_January_2026(1).pdf,131,188000,,latest_revised_cost_cr,False,,,,,,,,,,,,,,,,,0.0,,0.0,5.1686226898691485,True,month-local anomaly signal (5.17 robust deviation score); schedule dates unavailable in supplied CSV; cost/imbalance excluded: revised-cost timing is ambiguous,1,2026-01-01,2026-01-01,1,False,24.3,INSUFFICIENT_EVIDENCE,INSUFFICIENT_DATA,,,False,,0.0
